unit,address,fulladdress,marketrent,unittype,Utilities benefit,Apply,updatedate,createdate
214,214 - 446 Kingscourt Dr.,214 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
215,215 - 446 Kingscourt Dr.,215 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
216,216 - 446 Kingscourt Dr.,216 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
301,301 - 446 Kingscourt Dr.,301 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
302,302 - 446 Kingscourt Dr.,302 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
303,303 - 446 Kingscourt Dr.,303 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
304,304 - 446 Kingscourt Dr.,304 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
305,305 - 446 Kingscourt Dr.,305 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
306,306 - 446 Kingscourt Dr.,306 - 446 Kingscourt Dr. Waterloo N3K 3R9,$630.00,1 Bed Apartment,,1,2021-11-15,2021-11-15
307,307 - 446 Kingscourt Dr.,307 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
308,308 - 446 Kingscourt Dr.,308 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
309,309 - 446 Kingscourt Dr.,309 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
310,310 - 446 Kingscourt Dr.,310 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
311,311 - 446 Kingscourt Dr.,311 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
312,312 - 446 Kingscourt Dr.,312 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
